"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","Acetato de glatiramer",".",".","0,87 (0,59;  1,27)",".",".","1,00 (0,70;  1,43)","1,04 (0,76;  1,42)",".","1,53 (1,13;  2,07)",".","."
"2","0,39 (0,26; 0,60)","Alentuzumabe",".",".",".",".","2,18 (1,63;  2,93)",".",".",".",".","."
"3","0,75 (0,53; 1,06)","1,90 (1,14; 3,16)","Fingolimode",".",".",".",".",".",".","2,54 (1,97;  3,28)",".","."
"4","0,91 (0,67; 1,23)","2,31 (1,42; 3,75)","1,22 (0,85; 1,74)","Fumarato de dimetila",".",".",".",".",".","1,99 (1,54;  2,58)",".","."
"5","1,53 (1,10; 2,14)","3,89 (2,37; 6,41)","2,05 (1,41; 2,98)","1,69 (1,17; 2,42)","IFN-1a IM",".","0,19 (0,06;  0,61)","0,48 (0,28;  0,83)",".","1,38 (1,02;  1,87)",".","."
"6","1,05 (0,64; 1,72)","2,66 (1,54; 4,60)","1,40 (0,81; 2,42)","1,15 (0,68; 1,97)","0,68 (0,40; 1,18)","IFN-1a SC 22 mcg","0,78 (0,48;  1,28)",".",".","1,93 (1,12;  3,34)",".","."
"7","0,86 (0,64; 1,16)","2,18 (1,63; 2,93)","1,15 (0,76; 1,74)","0,95 (0,64; 1,39)","0,56 (0,38; 0,84)","0,82 (0,52; 1,30)","IFN-1a SC 44 mcg","1,71 (0,60;  4,85)",".","2,47 (1,44;  4,24)",".","."
"8","0,96 (0,74; 1,25)","2,44 (1,52; 3,91)","1,28 (0,86; 1,91)","1,06 (0,73; 1,52)","0,63 (0,44; 0,89)","0,92 (0,54; 1,56)","1,12 (0,77; 1,62)","IFN-1b SC",".","2,39 (1,23;  4,65)",".","."
"9","0,62 (0,41; 0,95)","1,59 (0,90; 2,78)","0,84 (0,54; 1,29)","0,69 (0,45; 1,06)","0,41 (0,26; 0,63)","0,60 (0,33; 1,08)","0,73 (0,45; 1,17)","0,65 (0,41; 1,03)","Natalizumabe","3,04 (2,14;  4,31)",".","."
"10","1,90 (1,49; 2,41)","4,82 (3,10; 7,48)","2,54 (1,97; 3,28)","2,09 (1,63; 2,68)","1,24 (0,94; 1,62)","1,81 (1,12; 2,93)","2,21 (1,59; 3,06)","1,98 (1,46; 2,67)","3,04 (2,14; 4,31)","Placebo","0,64 (0,44;  0,91)","0,71 (0,50;  1,02)"
"11","1,21 (0,78; 1,86)","3,07 (1,74; 5,42)","1,62 (1,04; 2,52)","1,33 (0,86; 2,06)","0,79 (0,50; 1,24)","1,15 (0,63; 2,10)","1,41 (0,86; 2,29)","1,26 (0,79; 2,01)","1,93 (1,17; 3,20)","0,64 (0,44; 0,91)","Teriflunomida 14mg","1,12 (0,78;  1,61)"
"12","1,36 (0,88; 2,09)","3,44 (1,95; 6,07)","1,81 (1,17; 2,82)","1,49 (0,96; 2,31)","0,88 (0,56; 1,39)","1,29 (0,71; 2,36)","1,58 (0,97; 2,56)","1,41 (0,88; 2,26)","2,17 (1,31; 3,58)","0,71 (0,50; 1,02)","1,12 (0,78; 1,61)","Teriflunomida 7mg"
